journal,n_studies,percent_reporting_sex,percent_reporting_age,percent_reporting_race_ethnicity
Frontiers in Neuroengineering,2,0,50,0
International Journal of Neural Systems,2,0,0,0
Scientific Reports,2,0,0,0
Advances in Technology-Assisted Neurorehabilitation,1,0,0,0
BMC Neurology,1,0,0,0
Biomedical Physics &amp; Engineering Express,1,0,0,0
Brain Sciences,1,0,0,0
Clinical Neurophysiology,1,0,100,0
Frontiers in Human Neuroscience,1,0,0,0
International Journal of Imaging Systems and Technology,1,0,0,0
Journal of Neuropsychology,1,0,0,0
Life,1,0,100,0
Neurology,1,0,100,0
Neurophotonics,1,0,0,0
Occupational Therapy International,1,0,0,0
PLOS ONE,1,0,0,0
SN Computer Science,1,0,0,0
Scientific Data,1,0,0,0
The Journal of Pain,1,0,0,0
